,Credit Limit,Sex,Education,Marital Status,Age,PayStat/Sept05,PayStat/Aug05,PayStat/Jul05,PayStat/Jun05,PayStat/May05,PayStat/Apr05,Outstanding/Sept05,Outstanding/Aug05,Outstanding/Jul05,Outstanding/Jun05,Outstanding/May05,Outstanding/Apr05,Paid/Sept05,Paid/Aug05,Paid/Jul05,Paid/Jun05,Paid/May05,Paid/Apr05,Default
33,100000,F,MSc or PHd,Single,28,2,2,2,2,2,2,79580,81493,82759,83609,85325,87096,3790,3200,3100,3200,3332,3280,True
34,120000,M,High School Diploma,Married,33,1,2,2,2,2,2,66055,67405,68405,69387,70727,72215,3000,2700,2700,2600,2800,0,True
35,20000,F,High School Diploma,Married,24,8,7,6,5,4,3,24310,23987,23353,22719,21796,21162,0,0,0,0,0,0,False
36,80000,F,BSc,Single,23,2,2,2,2,2,2,22895,23837,24253,24562,25126,25476,1600,1100,1000,1100,906,0,False
37,100000,F,High School Diploma,Married,43,2,2,2,2,2,2,50485,51582,52141,52691,54199,53176,2200,2000,2000,2500,0,4500,True
38,30000,F,High School Diploma,Single,52,2,2,7,7,7,7,2450,2450,2450,2450,2450,2450,0,0,0,0,0,0,True
39,110000,M,MSc or PHd,Other,55,1,2,2,2,3,2,92610,94755,92351,101140,99260,101577,4500,0,11300,0,4100,0,True
40,170000,F,MSc or PHd,Single,28,2,2,2,2,2,2,131864,133897,129761,138604,136283,145012,5600,0,11000,0,11000,5656,True
41,80000,F,BSc,Single,24,2,2,5,5,4,3,1200,1200,1200,1200,600,300,0,0,0,0,0,0,True
42,30000,M,BSc,Single,29,8,7,6,5,4,3,34423,33952,33165,32391,31332,30558,0,0,0,0,0,0,False
43,360000,F,BSc,Single,25,2,2,2,2,2,2,286732,290690,284059,294308,297916,279503,10792,0,15000,5800,0,126685,False
44,20000,F,MSc or PHd,Single,22,2,2,2,2,2,2,16233,20547,20542,19572,20437,19994,5383,660,0,1538,0,2658,True
45,10000,M,BSc,Married,32,1,2,2,2,2,2,8425,8148,9481,9180,10052,10091,0,1632,0,1022,350,0,False
46,60000,F,MSc or PHd,Single,30,2,2,2,2,2,2,34735,33895,36530,37133,37893,37131,0,3200,1500,1500,0,1700,False
47,50000,F,MSc or PHd,Single,25,1,2,2,2,2,2,47054,48008,48913,49847,50840,49502,2000,2000,2000,1900,1900,1600,True
48,20000,M,BSc,Single,30,1,2,4,3,2,2,19977,21359,20581,19860,19690,1735,2000,0,0,0,500,0,True
49,270000,M,MSc or PHd,Married,44,3,3,4,4,4,4,256402,264267,271951,278509,283545,278436,17944,18112,15405,10000,0,0,False
50,70000,F,MSc or PHd,Single,31,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,True
51,180000,F,BSc,Single,42,2,2,2,2,2,2,50420,51818,52372,52917,54123,55176,2500,2000,2000,2200,2100,2200,True
52,70000,F,High School Diploma,Married,49,2,2,2,2,2,2,21024,21790,21142,23772,24930,25709,1400,0,3000,1700,1340,1100,True
53,170000,M,MSc or PHd,Married,39,2,2,2,2,4,3,74298,80073,81959,89991,88018,86299,7000,3800,10000,0,0,3100,True
54,350000,F,MSc or PHd,Married,52,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,True
55,20000,F,High School Diploma,Married,48,1,2,2,3,2,2,14589,16743,17522,17055,10400,0,2700,1400,0,0,0,0,True
56,70000,F,BSc,Single,26,2,2,2,3,2,2,42583,43600,47550,46487,47298,46384,2000,5000,0,1700,0,3700,True
57,270000,F,MSc or PHd,Married,42,2,2,5,5,4,3,1250,1250,1250,1250,650,350,0,0,0,0,0,0,False
58,80000,M,High School Diploma,Single,26,1,2,2,2,2,2,71661,69947,74755,75732,74397,80138,0,6000,2800,0,7000,8,False
59,60000,M,BSc,Married,37,3,4,3,2,2,2,30381,29986,29210,29729,30505,32232,366,0,1300,1400,2400,2300,True
60,180000,F,BSc,Single,24,1,2,2,2,2,2,108580,105403,112073,111345,98404,102460,0,8564,4000,0,7414,0,True
61,210000,F,MSc or PHd,Married,37,2,2,2,2,2,2,76089,77985,79104,80399,81462,83366,3700,3000,3200,2500,3400,4300,True
62,70000,F,BSc,Married,42,2,2,2,2,2,2,50886,51975,52527,53560,54653,55797,2200,2000,2500,2100,2200,2100,True
63,230000,M,BSc,Single,32,2,2,2,2,2,2,189567,189023,187521,182671,174794,182160,9000,6300,6200,500,12500,0,True
64,100000,M,MSc or PHd,Single,31,2,2,2,2,2,2,33752,32928,35572,34700,36942,36196,0,3200,0,2800,0,1511,True
65,80000,F,BSc,Single,25,2,3,2,2,2,2,69602,67930,72205,73116,74801,73444,0,6000,2700,3000,0,5300,False
66,50000,F,BSc,Married,37,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,True
67,20000,F,BSc,Other,44,2,2,7,7,7,6,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0,True
68,190000,M,High School Diploma,Married,49,2,2,2,2,2,2,178367,179062,177663,180312,185910,191895,5000,3000,7100,8700,9300,9500,True
69,60000,M,BSc,Single,40,3,3,5,4,3,2,9744,10940,10630,10320,9865,10055,1500,0,0,0,500,0,False
70,30000,F,MSc or PHd,Single,27,2,2,2,2,2,2,28207,29261,28497,29862,43148,30603,1800,0,2150,900,3776,0,True
71,50000,F,High School Diploma,Married,31,1,2,2,2,2,2,38102,40025,40071,40906,42100,41269,2830,1000,1800,2000,0,1704,True
72,140000,F,High School Diploma,Married,31,2,2,2,2,2,2,89910,92588,91936,94623,94952,95234,5000,1800,5000,1900,4700,0,False
73,50000,F,MSc or PHd,Single,27,1,2,2,2,2,2,36794,35922,39319,38387,42764,41926,0,4000,0,5000,0,5000,True
74,90000,F,BSc,Married,36,2,2,2,2,2,2,49295,50206,50781,51840,52607,53784,2000,1700,2200,1750,2200,2000,False
75,230000,M,MSc or PHd,Single,35,2,2,2,2,2,2,117277,119823,120988,121464,123740,120937,5800,4500,3800,5000,0,4500,False
76,10000,M,BSc,Single,38,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,True
77,130000,F,MSc or PHd,Single,26,1,2,2,2,2,2,22415,21146,23647,22984,24315,23155,0,3500,0,2000,0,2000,False
78,80000,F,BSc,Married,37,2,2,2,2,2,2,15234,16893,17834,17250,18470,18023,2200,1500,0,1500,0,1600,True
79,50000,F,BSc,Single,37,1,2,2,2,2,2,14008,13493,17259,16684,18017,17581,0,4000,0,1600,0,3000,True
80,160000,F,High School Diploma,Married,51,2,2,2,2,2,2,142064,144900,146534,147955,145488,155041,6600,5500,5310,0,12000,0,True
81,10000,M,BSc,Single,35,1,6,5,4,3,2,8257,8001,7741,7481,7075,6815,0,0,0,0,0,700,True
82,40000,F,BSc,Married,23,2,2,2,2,2,2,33895,33068,35704,36173,36796,37288,0,3200,1500,1500,1400,1500,True
83,30000,F,BSc,Single,47,2,2,2,2,2,2,16039,17080,17302,17521,17893,18252,1600,800,800,800,800,0,True
84,90000,F,BSc,Married,32,1,2,2,2,2,2,85997,83779,88577,86365,91105,89347,0,7200,0,6200,24,3300,False
85,100000,M,BSc,Single,30,1,3,7,6,7,8,72652,90461,89011,96593,105083,103522,20000,0,10000,10000,0,0,True
86,30000,M,BSc,Single,36,3,2,2,2,3,2,20424,19809,22478,24111,23447,24951,0,3000,2300,0,2500,0,False
87,10000,M,BSc,Single,41,1,2,2,2,2,2,8722,9592,9289,10140,10417,10104,1157,0,1008,584,0,198,False
88,220000,F,MSc or PHd,Married,42,2,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,True
89,80000,F,High School Diploma,Single,40,3,2,2,2,2,2,38503,40118,41199,42264,43083,43471,2500,2000,2000,1600,1200,2000,True
90,140000,M,BSc,Single,34,2,2,2,2,2,2,135949,130625,117392,111478,109353,97612,8408,3500,3500,3600,0,3600,False
91,580000,M,High School Diploma,Married,67,2,2,3,3,4,6,453985,470915,471175,486776,503914,527711,25704,9464,25065,25703,33000,215,False
92,20000,F,BSc,Single,22,1,2,2,2,2,2,5613,5377,6920,6911,6655,7191,0,1638,251,0,647,0,True
93,110000,M,BSc,Single,26,2,2,2,2,2,2,58112,56620,60732,61938,63097,64492,0,5700,2800,2300,2600,2300,True
94,50000,M,High School Diploma,Single,27,2,2,2,2,2,2,54529,53143,53782,50982,51740,49062,1800,3900,300,3400,0,4000,False
95,140000,M,High School Diploma,Married,37,2,2,2,2,2,2,136184,138932,140185,136438,144979,139314,6400,5000,0,10800,0,5300,False
96,230000,M,MSc or PHd,Married,43,1,2,2,2,2,2,9462,9701,10277,13148,12834,13861,1000,1000,3000,0,1200,0,False
97,110000,M,BSc,Married,36,2,2,2,2,2,2,57135,55648,59518,57964,66995,65762,0,4803,0,10000,0,7195,True
98,90000,F,MSc or PHd,Married,41,2,2,2,2,2,2,78700,80348,81630,82890,84709,86252,3500,3200,3200,3300,3100,3100,True
99,140000,F,MSc or PHd,Single,35,2,2,2,2,2,2,56528,57973,58679,59379,60636,61656,2800,2100,2100,2200,2000,2400,False
100,10000,F,High School Diploma,Married,53,1,4,3,2,2,2,4479,4272,4064,3856,4390,4171,0,0,0,900,0,900,True
101,160000,F,BSc,Married,49,1,2,2,2,2,2,58943,60210,60755,59180,62835,61670,2800,2120,0,4611,0,2213,False
102,70000,F,BSc,Married,44,2,2,2,2,2,2,12662,13661,13145,14123,13754,14724,1500,0,1200,0,1200,0,True
103,140000,M,MSc or PHd,Married,57,2,2,2,2,2,3,108660,105504,113177,113622,116396,115826,0,10970,3805,4747,1932,8337,True
104,160000,M,BSc,Married,66,2,2,2,2,2,2,67771,69535,70848,71739,73090,74490,3400,3000,2600,2600,2700,2800,True
105,110000,F,MSc or PHd,Single,29,2,2,2,2,2,2,95690,105101,105676,106506,103591,109276,11000,3800,4000,0,8800,0,True
106,400000,M,BSc,Married,49,2,2,2,2,3,2,175904,179579,186539,196029,192680,195226,8000,11500,14100,4,6804,5,True
107,50000,M,BSc,Single,58,4,3,2,2,2,2,51996,51203,50071,8086,8263,9533,300,300,300,293,1400,400,True
108,30000,F,BSc,Single,25,1,2,2,2,2,2,14149,15171,14635,15318,14930,16562,1543,0,1226,0,1882,0,True
109,80000,F,High School Diploma,Married,43,2,2,3,3,2,3,68152,71459,73690,71908,76294,74788,5000,4000,0,5700,0,0,True
110,200000,F,BSc,Single,39,7,6,5,4,3,2,195156,190843,186029,181866,179272,148704,0,0,0,39,85,3054,True
111,20000,M,BSc,Single,24,8,7,6,5,4,3,24348,24025,23391,22757,21834,21200,0,0,0,0,0,0,False
112,50000,F,BSc,Single,25,3,3,2,2,2,2,35592,36518,36822,37421,38424,39035,1800,1200,1500,1750,1390,0,True
113,40000,M,BSc,Married,38,2,2,2,2,2,2,33152,33623,34773,33917,36704,40404,1300,2000,0,3500,4471,0,True
114,50000,M,High School Diploma,Married,32,2,3,2,2,2,2,39589,40160,40796,41526,42209,44960,1500,1600,1700,1500,3600,0,True
115,80000,F,BSc,Single,29,1,2,2,2,2,2,54033,52595,56709,55201,69270,70582,0,5000,0,15000,2600,0,False
116,50000,F,High School Diploma,Single,43,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,True
117,20000,F,BSc,Married,24,4,3,2,2,2,2,16549,16002,16047,15492,16739,16320,0,600,0,1500,0,2000,True
118,120000,F,BSc,Single,25,3,3,2,2,2,2,87057,84821,85194,76326,75122,75011,0,2700,2500,3200,2500,0,True
119,50000,F,BSc,Single,41,2,2,2,2,2,2,5025,4805,46295,46885,47535,45994,0,42000,1600,1500,2000,2000,True
120,80000,F,BSc,Single,25,1,2,2,2,2,2,28789,31026,31401,31986,32468,31794,2998,1183,1400,1139,0,1178,False
121,30000,F,BSc,Single,26,2,2,2,2,2,2,25615,29849,31034,28071,29978,29365,5000,2000,0,2500,0,600,True
122,20000,M,BSc,Single,27,1,3,2,2,2,2,19443,18851,19248,18648,20040,19464,0,1000,0,2000,0,817,True
123,140000,F,MSc or PHd,Single,29,2,2,2,2,2,2,97905,100152,100772,101562,103214,88085,4700,3200,3500,3193,0,2304,True
124,20000,M,MSc or PHd,Single,29,2,2,3,2,2,2,10512,12044,11562,11080,11700,12357,2000,0,0,800,1000,500,True
125,30000,M,High School Diploma,Married,28,2,2,2,2,2,4,23848,23873,24182,26022,27462,27531,700,1000,2550,2013,1108,0,True
126,180000,F,MSc or PHd,Married,46,1,2,2,2,2,2,82505,86302,84020,97554,95878,112141,6000,0,15000,0,18000,0,False
127,30000,M,BSc,Single,35,2,2,2,2,2,2,27143,28211,28654,27897,29587,30152,1800,1200,0,2300,1200,0,False
128,50000,M,High School Diploma,Single,30,1,2,3,2,2,2,31217,33423,32600,31777,33966,34759,3000,0,0,2700,1500,0,False
129,240000,F,BSc,Married,47,1,2,2,2,2,2,124425,131943,133457,134749,132651,140600,10839,5000,4800,0,10000,5200,True
130,200000,M,BSc,Married,31,7,6,5,4,3,2,254266,240966,228663,217600,208432,200057,0,328,0,0,600,2500,True
131,50000,F,MSc or PHd,Single,25,2,3,2,2,2,2,43870,42891,43582,44561,45592,46495,0,1700,2000,1900,1800,0,True
132,50000,F,MSc or PHd,Single,24,4,3,2,2,2,2,38965,38063,38838,39598,40313,41293,0,1700,1700,1500,1800,1700,True
133,120000,F,BSc,Single,28,1,2,2,2,2,2,108993,111266,112056,112819,111298,113290,5500,4100,4087,400,4000,8932,False
134,90000,F,BSc,Married,24,2,2,2,2,2,2,86643,87249,86858,86373,85875,82150,3881,3000,2800,1500,2299,2500,True
135,50000,F,BSc,Single,25,2,2,2,2,2,2,15679,16228,17796,17213,18432,18981,1100,2150,0,1500,1000,0,True
136,50000,F,BSc,Married,46,2,2,2,2,2,2,28390,29639,30854,30062,32705,33519,2000,2000,0,3300,1500,0,False
137,20000,M,High School Diploma,Single,26,8,7,6,5,4,3,43340,42619,35381,31539,27409,23567,0,0,0,0,0,300,False
138,30000,F,BSc,Married,34,2,2,2,2,2,2,24014,25891,27385,27834,28241,28130,2274,2217,1200,1000,500,2000,True
139,30000,F,BSc,Married,24,2,2,2,2,2,2,150,150,150,150,150,300,0,0,0,0,150,0,False
140,10000,F,BSc,Married,24,1,2,2,2,2,2,3892,3686,5064,4837,5208,5475,0,1600,0,600,500,0,False
141,100000,F,High School Diploma,Married,36,2,2,2,2,2,2,53530,55081,55581,59253,61145,62181,3000,2000,4600,3000,2200,2500,True
142,330000,F,BSc,Married,41,1,2,2,2,2,2,289884,283863,301265,306752,313710,309446,0,22200,12000,12000,978,23500,False
143,30000,F,BSc,Single,24,2,2,7,7,7,7,300,300,300,300,300,300,0,0,0,0,0,0,False
144,230000,F,MSc or PHd,Single,30,2,2,2,2,2,2,216409,221419,224753,228022,232724,260472,10000,8500,8500,8500,32000,200,False
145,70000,F,BSc,Married,41,2,2,2,2,2,2,50241,51145,50022,53390,54579,55722,2000,0,4200,2200,2200,2200,True
146,230000,M,High School Diploma,Single,30,1,2,2,3,2,2,213894,218966,238075,233210,233833,190628,10040,28341,0,6508,187,5000,False
147,20000,F,MSc or PHd,Single,25,2,2,2,2,2,2,9317,18576,18219,17095,19748,18722,10000,800,0,3500,0,1000,True
148,30000,F,BSc,Married,26,2,2,2,2,2,2,30954,30670,29856,30584,27883,29334,2074,0,2304,0,2400,0,False
149,80000,F,BSc,Single,24,2,2,3,2,3,2,75444,80025,78129,82581,81053,79133,6400,0,6300,0,0,5000,True
150,20000,M,High School Diploma,Single,59,1,2,2,4,3,2,19074,18482,20329,19616,19303,1013,0,2300,0,0,0,2821,True
151,30000,F,MSc or PHd,Married,30,2,2,2,3,2,2,12109,12917,13909,13394,13036,15019,1300,1500,0,0,2200,0,True
152,80000,M,MSc or PHd,Single,31,1,2,2,2,2,2,21004,20384,22231,21576,23229,22708,0,2500,0,2000,0,1000,True
153,10000,M,High School Diploma,Single,24,1,2,2,2,2,2,7826,8745,8440,9229,8969,8819,1200,0,900,0,2000,0,False
154,30000,M,BSc,Married,44,1,3,2,2,2,2,23171,22523,21863,23296,22783,24310,0,0,1800,0,1910,780,True
155,30000,F,MSc or PHd,Single,28,2,2,4,4,4,4,37,37,37,37,37,37,0,0,0,0,0,0,False
156,50000,M,MSc or PHd,Single,29,1,2,2,2,2,2,14497,13975,25731,26112,26548,25970,0,12000,1100,1000,0,2500,False
157,280000,M,BSc,Married,46,1,2,2,2,2,2,188894,194489,197722,192140,203913,200564,10101,8000,0,15000,0,7053,True
158,30000,F,High School Diploma,Married,56,2,2,2,2,2,2,17643,18564,17969,20645,21666,21170,1500,0,3000,1500,0,1900,True
159,60000,F,MSc or PHd,Single,28,2,2,2,2,2,2,43662,42682,45603,44569,47452,46536,0,3628,0,3600,0,4000,True
160,20000,F,BSc,Married,50,1,2,2,2,3,2,7973,9686,9382,10821,10361,10046,2000,0,1600,0,0,1500,False
161,220000,F,BSc,Married,28,5,6,5,4,3,2,216435,219973,215959,210438,207114,210491,8355,1000,0,0,6800,97,True
162,30000,M,High School Diploma,Married,45,2,2,2,3,5,4,25161,24476,28721,31262,30217,29158,0,5000,3300,0,0,0,True
163,80000,M,High School Diploma,Married,57,2,2,2,2,2,2,7431,9895,9937,9629,10571,10749,2600,350,0,1100,500,1300,True
164,90000,M,BSc,Single,33,2,2,2,2,2,2,62011,63426,64288,65236,66639,67893,3000,2500,2600,2600,2500,2800,True
165,60000,M,High School Diploma,Single,28,2,2,2,2,2,2,53567,59629,60943,60716,58458,49529,6950,3250,1767,0,3654,0,False
166,70000,F,BSc,Single,26,3,2,2,2,2,2,49201,48134,52431,52479,53345,52333,0,5100,2000,2000,0,4046,True
167,50000,M,High School Diploma,Single,41,2,2,2,2,3,2,29368,28612,31623,33393,32587,31914,0,3500,2589,0,0,1332,False
168,30000,F,BSc,Single,24,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,True
169,100000,F,BSc,Married,40,2,2,2,2,2,2,47243,48294,49213,49827,51005,53142,2000,1900,1600,2000,3000,0,True
170,80000,M,High School Diploma,Single,43,7,6,5,4,3,2,81071,79283,76767,75393,74731,23207,0,0,0,0,0,2000,True
171,20000,F,MSc or PHd,Married,32,2,2,2,2,2,2,11337,14372,11411,11653,7833,7945,6000,0,744,0,620,0,True
172,30000,M,High School Diploma,Married,49,2,2,2,2,2,2,26343,27127,26393,29646,30390,29755,1500,0,3712,1363,0,1141,False
173,20000,M,BSc,Married,26,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,True
174,50000,F,BSc,Single,27,1,2,2,2,2,2,8951,8862,10061,9751,11585,11250,200,1500,0,2000,0,1600,True
175,130000,F,MSc or PHd,Married,32,2,2,2,2,2,2,114227,115922,117545,114168,121621,124168,5000,5000,0,9500,4700,0,False
176,60000,F,MSc or PHd,Single,30,1,2,2,2,2,2,41259,40715,43153,43845,44795,45710,400,3406,1700,1800,1800,0,False
177,90000,F,BSc,Single,23,2,2,2,2,2,2,18168,17593,19492,18884,21410,21841,0,2500,0,3000,930,0,True
178,240000,M,MSc or PHd,Married,47,1,2,2,2,2,2,138103,134976,137251,144457,147604,145071,500,6000,11000,5600,0,11077,True
179,20000,M,BSc,Single,22,3,2,2,3,2,2,17710,17137,19830,19240,18419,20126,0,3000,0,0,2000,0,True
180,20000,F,MSc or PHd,Single,23,2,2,2,2,2,2,9736,12759,12459,12957,13104,12744,3500,200,1000,500,0,1000,True
181,10000,M,High School Diploma,Single,46,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,True
182,20000,F,BSc,Single,22,4,3,2,2,2,2,19529,18937,18335,19530,19076,20444,0,0,1500,0,1700,0,True
183,100000,M,BSc,Single,33,5,4,3,2,2,2,90822,88562,86256,87150,85636,91007,0,0,3200,0,6803,6950,True
184,30000,F,BSc,Married,27,2,2,2,2,2,2,27896,26835,28690,27633,29184,28776,0,2659,0,2309,1087,0,True
185,100000,M,BSc,Single,31,1,2,2,2,3,2,24377,25167,24541,27304,26669,26172,1400,0,3100,0,0,2000,True
186,50000,F,BSc,Married,46,1,2,2,2,2,2,43244,42276,45235,45816,44970,47649,0,4000,1600,0,3400,0,True
187,50000,M,MSc or PHd,Single,25,4,4,4,4,3,2,35906,37038,38151,37264,36396,35659,2000,2000,0,0,0,3001,False
188,310000,F,BSc,Married,43,1,2,2,2,2,2,266629,270414,264482,280240,285805,272059,9500,0,20000,10000,0,9755,True
189,10000,F,MSc or PHd,Single,22,1,3,2,2,2,2,8352,8078,7800,8672,8388,9248,0,0,1000,0,1000,0,False
190,30000,M,High School Diploma,Single,23,2,2,2,2,2,2,10732,20501,20831,21231,20589,31018,10000,1000,1000,0,13000,0,False
191,70000,M,BSc,Married,31,1,2,2,2,2,2,32945,32133,35089,34225,36663,35921,0,3500,0,3000,0,3000,False
192,50000,M,BSc,Single,33,1,2,2,2,2,2,40159,41323,40364,42781,41966,48865,2100,0,3400,0,7800,0,True
193,90000,M,High School Diploma,Married,42,2,2,2,3,3,3,48674,49895,52570,53614,54534,53374,2300,4116,2500,2052,0,0,False
194,30000,M,BSc,Single,26,1,4,3,2,2,4,24386,23744,23090,22436,26886,30858,0,0,0,5000,5000,0,False
195,330000,F,BSc,Married,39,8,7,6,5,4,3,377779,372355,365250,358145,352121,346216,0,0,0,0,0,0,True
196,380000,F,MSc or PHd,Married,34,2,2,2,2,2,2,322199,331518,337703,343612,351089,358401,16001,13150,13000,13150,13300,13000,False
197,180000,F,BSc,Married,34,2,2,2,2,2,2,95008,97088,98093,99578,101828,103986,4500,3500,4000,4000,4000,4000,True
198,90000,M,BSc,Married,35,8,7,6,5,4,3,112662,111077,108539,106001,103816,101878,0,0,0,0,0,0,True
199,100000,F,BSc,Single,25,1,2,3,4,4,3,53111,55650,59730,61693,59186,57949,4000,5600,3500,0,0,0,True
200,30000,F,High School Diploma,Other,42,3,3,2,2,2,2,27669,26955,27425,28179,28545,27942,0,1200,1500,1100,0,1000,False
201,100000,M,BSc,Single,36,8,7,6,5,4,3,110072,108478,105931,104554,102360,100413,0,0,1170,0,0,0,False
202,90000,M,BSc,Married,52,2,2,2,2,2,2,90603,92152,86671,91280,85868,91047,3900,0,6800,0,6500,0,False
203,120000,M,High School Diploma,Married,32,2,2,2,2,2,2,67502,68842,69825,70891,72213,73786,3000,2700,2800,2600,2900,0,False
204,50000,M,BSc,Single,26,2,2,2,2,2,2,32976,34154,33311,35246,34548,36910,2000,0,2800,0,3100,0,True
205,130000,F,BSc,Single,42,2,2,2,2,2,2,119378,121993,123503,124578,127434,130285,6000,5000,4600,5000,5100,4500,False
206,100000,F,BSc,Single,29,2,2,2,2,2,2,80234,80369,83130,83961,85574,84039,2000,5001,3100,3100,0,6410,False
207,30000,F,BSc,Married,43,2,2,2,2,2,2,15246,17838,17272,18131,17711,19007,3141,0,1434,0,1581,1705,True
208,10000,F,BSc,Married,55,3,2,2,2,2,2,5358,6339,6111,7031,6780,7676,1200,0,1000,0,1000,0,True
