,Credit Limit,Sex,Education,Marital Status,Age,Payment_Score,Avg_Outstanding,Avg_Paid,Default
87,360000,F,MSc or PHd,Married,45,0.6666666666666666,585.0,390.0,True
88,160000,F,BSc,Single,32,0.8333333333333334,5270.5,1369.3333333333333,False
89,130000,F,MSc or PHd,Married,35,0.5,37755.666666666664,9450.833333333334,False
90,20000,M,High School Diploma,Single,44,2.0,10218.166666666666,1025.1666666666667,False
91,200000,M,MSc or PHd,Married,53,3.0,143694.5,5466.666666666667,True
92,280000,F,MSc or PHd,Single,39,0.16666666666666666,2560.0,661.3333333333334,False
93,100000,F,MSc or PHd,Single,27,-1.0,592.5,1259.1666666666667,False
94,160000,F,BSc,Married,37,-0.16666666666666666,693.6666666666666,1836.3333333333333,False
95,60000,F,BSc,Single,23,1.0,32973.166666666664,1043.5,False
96,90000,M,BSc,Single,35,1.0,59119.333333333336,1959.3333333333333,False
97,360000,M,MSc or PHd,Married,43,0.16666666666666666,9743.333333333334,20102.166666666668,False
98,150000,M,MSc or PHd,Single,27,1.0,79901.83333333333,3973.5,False
99,50000,F,High School Diploma,Married,22,1.0,13965.666666666666,630.5,False
100,20000,M,BSc,Married,38,0.8333333333333334,15536.166666666666,947.5,True
101,140000,M,MSc or PHd,Single,32,-1.0,2279.8333333333335,2167.8333333333335,False
102,380000,F,MSc or PHd,Single,30,0.16666666666666666,22100.333333333332,7003.166666666667,False
103,480000,M,MSc or PHd,Married,63,1.6666666666666667,460169.1666666667,21828.5,False
104,50000,F,High School Diploma,Single,22,1.0,34227.666666666664,1145.0,True
105,60000,F,BSc,Single,26,2.6666666666666665,57006.333333333336,2252.8333333333335,False
106,70000,F,BSc,Single,24,-0.5,5351.5,4754.833333333333,False
107,80000,F,BSc,Married,36,0.0,2977.5,2132.3333333333335,False
108,350000,M,MSc or PHd,Single,52,0.0,1831.1666666666667,2547.5,False
109,130000,M,BSc,Single,38,0.5,113489.66666666667,47961.333333333336,False
110,360000,M,BSc,Married,35,-0.5,-103.0,0.0,False
111,330000,F,MSc or PHd,Married,31,1.3333333333333333,106596.66666666667,5457.833333333333,False
112,50000,M,High School Diploma,Married,47,1.3333333333333333,15523.166666666666,1166.6666666666667,False
113,280000,M,BSc,Married,41,3.1666666666666665,142501.33333333334,6767.333333333333,False
114,100000,F,MSc or PHd,Single,24,1.0,55864.333333333336,2977.6666666666665,False
115,50000,M,BSc,Single,41,1.0,19851.666666666668,911.8333333333334,False
116,30000,M,MSc or PHd,Single,24,2.0,19610.0,1052.0,True
117,240000,M,MSc or PHd,Single,28,0.0,1242.6666666666667,1276.0,False
118,80000,M,BSc,Single,26,1.3333333333333333,16503.666666666668,1283.3333333333333,True
119,400000,M,BSc,Married,34,0.0,11971.333333333334,9648.5,False
120,240000,F,BSc,Single,38,0.6666666666666666,34950.5,1845.5,False
121,50000,M,High School Diploma,Single,37,3.1666666666666665,48374.166666666664,1705.8333333333333,True
122,450000,M,MSc or PHd,Married,40,-0.5,0.0,0.0,True
123,110000,F,MSc or PHd,Married,48,-0.5,0.0,0.0,False
124,310000,F,BSc,Married,35,1.3333333333333333,271089.6666666667,8995.5,True
125,20000,M,MSc or PHd,Single,27,1.0,18683.333333333332,718.0,False
126,20000,M,BSc,Single,23,-0.5,0.0,0.0,False
127,200000,M,High School Diploma,Single,52,1.0,102947.5,3676.0,False
128,180000,M,MSc or PHd,Married,36,1.0,111480.33333333333,2461.8333333333335,True
129,50000,M,BSc,Married,51,1.0,5091.333333333333,1033.3333333333333,True
130,60000,M,High School Diploma,Married,55,2.1666666666666665,44020.833333333336,1251.8333333333333,False
131,30000,F,MSc or PHd,Single,23,-0.16666666666666666,5462.666666666667,5314.333333333333,False
132,240000,M,MSc or PHd,Single,41,0.6666666666666666,1879.8333333333333,1490.6666666666667,False
133,420000,M,BSc,Married,34,1.0,224985.16666666666,8884.833333333334,False
134,330000,M,High School Diploma,Married,46,1.0,228219.5,8182.666666666667,False
135,30000,F,BSc,Single,22,1.0,20580.333333333332,910.0,False
136,240000,M,BSc,Married,34,2.0,12951.333333333334,771.1666666666666,False
137,150000,M,MSc or PHd,Single,27,1.0,23471.5,3333.3333333333335,False
138,210000,F,BSc,Married,33,1.0,7209.333333333333,1174.3333333333333,False
139,50000,F,High School Diploma,Married,51,-0.3333333333333333,1155.3333333333333,1030.0,True
140,50000,M,MSc or PHd,Single,24,1.0,34721.666666666664,1493.3333333333333,False
141,240000,M,MSc or PHd,Single,47,-0.5,0.0,0.0,True
142,180000,M,BSc,Single,28,0.0,638.0,930.0,False
143,50000,M,BSc,Single,23,2.1666666666666665,16581.166666666668,2250.0,False
144,170000,M,BSc,Single,29,-1.0,11331.333333333334,10974.333333333334,False
145,20000,M,MSc or PHd,Single,29,0.16666666666666666,4418.333333333333,3940.1666666666665,False
146,50000,M,MSc or PHd,Single,28,1.5,8030.666666666667,1197.1666666666667,False
147,170000,F,BSc,Single,27,1.0,17502.0,625.3333333333334,True
148,200000,M,MSc or PHd,Single,34,1.5,132378.83333333334,14500.0,False
149,80000,F,BSc,Married,23,2.3333333333333335,10325.0,686.8333333333334,False
150,260000,F,MSc or PHd,Married,60,0.16666666666666666,3506.3333333333335,4078.1666666666665,False
151,140000,M,BSc,Married,32,1.3333333333333333,68553.83333333333,2711.1666666666665,False
152,80000,M,MSc or PHd,Single,25,1.0,42754.666666666664,10500.0,False
153,350000,M,MSc or PHd,Single,41,0.16666666666666666,790.6666666666666,756.0,False
154,280000,F,BSc,Married,56,1.0,161936.83333333334,22200.0,False
155,30000,F,High School Diploma,Single,26,1.0,11678.666666666666,1450.0,False
156,140000,M,MSc or PHd,Married,34,1.0,37163.333333333336,5898.166666666667,False
157,200000,F,MSc or PHd,Single,37,1.0,95901.16666666667,3760.0,False
158,200000,F,High School Diploma,Single,30,1.0,169693.33333333334,6298.0,False
159,210000,M,High School Diploma,Married,45,5.0,134241.83333333334,10878.0,True
160,50000,M,High School Diploma,Married,57,1.8333333333333333,13314.0,633.3333333333334,False
161,30000,M,MSc or PHd,Single,41,2.6666666666666665,27099.333333333332,1358.3333333333333,False
162,50000,M,BSc,Single,27,1.0,566.0,440.0,False
163,290000,M,High School Diploma,Married,47,0.16666666666666666,606.1666666666666,396.0,False
164,250000,F,MSc or PHd,Married,34,1.3333333333333333,153157.0,6641.666666666667,False
165,60000,F,BSc,Married,46,1.0,25050.666666666668,1666.6666666666667,False
166,110000,F,MSc or PHd,Single,27,1.0,89889.83333333333,3516.6666666666665,False
167,370000,M,MSc or PHd,Single,50,-1.0,10511.666666666666,10324.0,False
168,100000,M,BSc,Married,27,1.5,51681.5,9317.666666666666,False
169,90000,F,BSc,Married,35,1.3333333333333333,78825.16666666667,4108.666666666667,False
170,50000,F,BSc,Single,22,1.0,28559.833333333332,1132.5,False
171,270000,M,BSc,Single,37,1.0,30034.833333333332,3166.6666666666665,False
172,300000,F,MSc or PHd,Single,30,0.0,1963.3333333333333,1974.3333333333333,False
173,50000,F,BSc,Single,22,0.8333333333333334,8964.5,5191.5,False
174,50000,F,MSc or PHd,Single,24,-0.5,-1928.1666666666667,0.0,True
175,360000,M,MSc or PHd,Single,29,-0.16666666666666666,12.833333333333334,12.833333333333334,False
176,130000,M,High School Diploma,Married,56,3.0,68429.16666666667,2416.6666666666665,True
177,80000,M,MSc or PHd,Single,30,0.5,2604.0,1000.6666666666666,False
178,50000,M,BSc,Single,30,1.8333333333333333,36747.166666666664,1083.3333333333333,False
179,20000,F,BSc,Single,22,1.0,13985.666666666666,1152.1666666666667,False
180,80000,F,BSc,Married,29,1.3333333333333333,53926.5,1466.6666666666667,False
181,240000,M,MSc or PHd,Single,37,0.8333333333333334,19710.166666666668,14031.833333333334,False
182,80000,F,High School Diploma,Single,35,0.8333333333333334,21581.166666666668,4833.333333333333,False
183,500000,F,MSc or PHd,Married,47,1.0,96540.5,37091.666666666664,False
184,60000,F,BSc,Married,24,1.0,37073.833333333336,1806.1666666666667,True
185,20000,M,BSc,Single,25,0.8333333333333334,8484.0,892.1666666666666,False
186,100000,F,BSc,Married,38,1.8333333333333333,15391.833333333334,933.3333333333334,True
187,360000,F,MSc or PHd,Single,32,0.3333333333333333,27257.666666666668,33214.666666666664,False
188,200000,F,High School Diploma,Single,47,3.0,197097.0,5997.333333333333,True
189,130000,F,BSc,Married,34,1.0,9623.666666666666,2899.5,False
190,20000,F,BSc,Single,31,4.166666666666667,20965.333333333332,293.3333333333333,False
191,310000,M,MSc or PHd,Single,32,1.0,58956.666666666664,6736.5,False
192,60000,F,MSc or PHd,Single,27,1.6666666666666667,21669.666666666668,1125.3333333333333,True
193,180000,F,MSc or PHd,Single,29,0.0,7642.333333333333,3813.5,False
194,180000,F,MSc or PHd,Single,24,0.6666666666666666,11373.166666666666,6344.5,False
195,50000,M,BSc,Married,36,0.6666666666666666,14145.0,4418.5,False
196,50000,F,MSc or PHd,Single,24,2.8333333333333335,38126.5,1355.3333333333333,True
197,150000,F,BSc,Married,34,-1.0,269.3333333333333,269.3333333333333,False
198,20000,F,MSc or PHd,Single,22,0.8333333333333334,17251.833333333332,4127.666666666667,False
199,500000,F,MSc or PHd,Married,34,-0.5,1076.1666666666667,3643.5,False
200,30000,F,High School Diploma,Single,22,1.8333333333333333,19642.333333333332,483.8333333333333,True
201,180000,F,MSc or PHd,Married,38,-1.0,125.0,0.0,False
202,140000,M,MSc or PHd,Single,31,1.6666666666666667,21812.0,6383.333333333333,False
203,140000,F,MSc or PHd,Single,26,0.16666666666666666,10706.0,8306.5,False
204,120000,M,BSc,Single,26,1.0,114815.66666666667,4858.666666666667,False
205,360000,F,BSc,Married,48,1.0,200463.16666666666,6250.0,False
206,20000,M,High School Diploma,Married,43,0.6666666666666666,16490.166666666668,5256.333333333333,False
207,100000,M,MSc or PHd,Married,47,0.0,505.5,837.1666666666666,False
208,210000,F,BSc,Married,41,0.0,1609.5,1164.6666666666667,True
209,80000,F,BSc,Single,24,1.0,65234.5,2306.3333333333335,True
210,330000,F,MSc or PHd,Married,50,-0.3333333333333333,3243.6666666666665,1811.3333333333333,False
211,220000,M,MSc or PHd,Single,24,0.5,69996.5,17330.833333333332,False
212,210000,F,MSc or PHd,Married,38,0.3333333333333333,397.3333333333333,1979.5,True
213,40000,F,High School Diploma,Married,43,1.0,35990.833333333336,1400.6666666666667,False
214,30000,M,BSc,Single,39,1.3333333333333333,17267.166666666668,1415.5,False
215,470000,M,BSc,Single,27,2.3333333333333335,333803.0,9281.666666666666,False
216,30000,M,High School Diploma,Married,42,0.5,585.0,415.0,False
217,240000,F,BSc,Married,36,-0.5,-946.0,0.0,True
218,80000,M,BSc,Single,36,1.3333333333333333,78468.16666666667,3250.0,False
220,310000,F,MSc or PHd,Single,38,-0.3333333333333333,1015.3333333333334,778.0,False
221,360000,F,MSc or PHd,Married,40,2.0,114260.83333333333,5350.0,True
222,330000,F,High School Diploma,Single,45,1.0,334236.3333333333,12203.833333333334,False
223,300000,F,BSc,Single,35,1.0,238552.5,12430.333333333334,False
224,320000,F,BSc,Single,33,1.0,72878.0,6977.666666666667,False
225,50000,F,High School Diploma,Single,37,2.0,40661.333333333336,5719.5,True
226,170000,F,MSc or PHd,Single,28,1.0,128683.66666666667,8091.5,False
227,350000,M,High School Diploma,Married,44,-0.16666666666666666,1397.3333333333333,853.1666666666666,False
228,20000,M,BSc,Married,37,1.0,18076.833333333332,1260.6666666666667,False
229,50000,M,BSc,Single,23,1.3333333333333333,33750.166666666664,1512.3333333333333,True
230,20000,F,High School Diploma,Single,24,1.5,10652.0,855.5,False
231,50000,F,MSc or PHd,Single,24,1.0,22155.0,1122.0,False
232,20000,M,BSc,Single,23,1.8333333333333333,15776.0,2200.0,True
233,50000,M,BSc,Married,26,0.3333333333333333,32924.666666666664,8656.333333333334,False
234,190000,M,BSc,Single,34,2.0,138009.66666666666,5814.5,True
235,60000,F,BSc,Married,33,1.0,29299.0,989.1666666666666,False
236,80000,M,MSc or PHd,Single,35,0.0,6975.333333333333,6048.833333333333,False
237,150000,F,BSc,Single,27,1.0,66630.0,2104.1666666666665,False
238,210000,F,MSc or PHd,Single,31,-0.6666666666666666,3021.6666666666665,3331.5,False
239,240000,F,High School Diploma,Married,50,1.0,218871.16666666666,8499.5,True
240,140000,F,BSc,Other,41,1.0,19309.0,2266.1666666666665,True
241,60000,F,MSc or PHd,Single,28,1.0,7406.0,380.8333333333333,False
242,50000,M,MSc or PHd,Single,39,1.0,40207.333333333336,2133.3333333333335,False
243,50000,F,BSc,Single,27,1.0,28205.666666666668,1325.0,False
244,180000,F,MSc or PHd,Single,32,1.0,2439.0,969.6666666666666,False
245,30000,F,MSc or PHd,Single,40,2.0,102.16666666666667,99.16666666666667,False
246,20000,F,BSc,Single,40,0.6666666666666666,13314.833333333334,986.3333333333334,False
247,250000,F,BSc,Married,75,0.16666666666666666,10569.5,1954.5,False
248,100000,F,BSc,Single,27,1.0,32749.666666666668,1376.6666666666667,False
249,330000,M,MSc or PHd,Single,25,1.3333333333333333,42667.5,2538.3333333333335,False
250,50000,M,High School Diploma,Married,46,1.0,19645.166666666668,1171.1666666666667,False
251,50000,F,BSc,Single,26,1.8333333333333333,40143.666666666664,1677.0,False
252,30000,M,BSc,Single,28,1.0,22526.666666666668,1342.6666666666667,False
253,140000,F,BSc,Single,26,1.0,105239.83333333333,4173.5,True
254,160000,F,MSc or PHd,Single,28,0.8333333333333334,56231.833333333336,22051.833333333332,False
255,400000,F,BSc,Single,29,0.16666666666666666,5671.666666666667,2470.8333333333335,False
256,50000,M,BSc,Married,25,1.0,28925.333333333332,1140.3333333333333,False
257,140000,F,BSc,Married,48,0.16666666666666666,4515.833333333333,4583.5,False
258,160000,F,BSc,Married,33,0.16666666666666666,13701.166666666666,11443.5,False
259,100000,F,High School Diploma,Married,43,-0.3333333333333333,10361.666666666666,0.0,False
260,220000,M,MSc or PHd,Married,48,1.3333333333333333,188240.0,7003.333333333333,True
261,510000,F,MSc or PHd,Single,29,1.0,85535.16666666667,26745.0,False
262,50000,M,BSc,Single,29,1.0,33700.166666666664,2752.0,False
263,160000,F,MSc or PHd,Married,38,0.5,10546.166666666666,7357.0,False
264,230000,F,MSc or PHd,Single,37,-1.0,8955.833333333334,8658.666666666666,False
265,80000,F,MSc or PHd,Single,37,0.0,5842.333333333333,4826.166666666667,False
266,150000,F,BSc,Married,25,-0.16666666666666666,1184.0,210.66666666666666,False
267,10000,M,High School Diploma,Single,23,1.3333333333333333,8689.333333333334,655.3333333333334,False
268,130000,F,High School Diploma,Single,49,1.0,59630.166666666664,1664.3333333333333,True
269,40000,F,MSc or PHd,Single,48,1.0,34662.5,1533.3333333333333,False
270,50000,M,BSc,Single,27,2.0,12286.166666666666,1105.1666666666667,True
271,100000,M,High School Diploma,Single,32,1.0,30034.833333333332,1614.3333333333333,False
272,120000,M,MSc or PHd,Married,34,1.0,735.6666666666666,300.0,False
273,260000,F,MSc or PHd,Single,58,-0.5,0.0,0.0,True
274,200000,F,BSc,Single,33,1.0,13478.5,1920.3333333333333,False
275,360000,F,BSc,Single,28,-1.0,0.0,0.0,True
276,70000,F,BSc,Single,36,1.0,44292.166666666664,4707.833333333333,False
277,460000,M,MSc or PHd,Married,40,0.5,4673.166666666667,4654.5,True
278,50000,F,MSc or PHd,Single,26,0.0,456.0,316.0,False
279,50000,M,High School Diploma,Married,33,1.0,35298.5,1167.3333333333333,False
280,250000,F,BSc,Married,31,1.0,100668.5,4483.333333333333,False
281,30000,F,MSc or PHd,Single,27,0.5,1074.6666666666667,527.3333333333334,False
282,270000,M,BSc,Married,44,0.6666666666666666,81099.0,24035.666666666668,False
283,180000,F,High School Diploma,Single,30,1.0,126701.83333333333,4532.0,False
284,100000,F,MSc or PHd,Single,28,1.0,53863.666666666664,3366.3333333333335,False
285,230000,F,High School Diploma,Married,32,1.0,111252.83333333333,4833.333333333333,False
286,210000,F,MSc or PHd,Married,46,0.0,35173.166666666664,20078.333333333332,False
287,210000,M,MSc or PHd,Single,38,1.3333333333333333,59828.333333333336,2300.6666666666665,False
288,440000,F,BSc,Married,46,1.0,138029.83333333334,4957.666666666667,False
289,100000,F,BSc,Single,25,1.3333333333333333,67273.0,2201.6666666666665,True
290,240000,F,BSc,Married,46,1.0,9349.5,1049.1666666666667,False
291,280000,M,MSc or PHd,Single,33,0.0,-56043.166666666664,57956.5,True
292,50000,F,BSc,Single,22,-0.5,0.0,0.0,True
293,30000,M,BSc,Married,43,3.1666666666666665,2162.0,333.3333333333333,False
294,10000,M,BSc,Single,27,1.3333333333333333,9474.666666666666,911.6666666666666,True
295,130000,M,MSc or PHd,Single,29,-0.5,0.0,250.0,False
296,200000,M,MSc or PHd,Single,31,1.0,163159.66666666666,6070.833333333333,False
297,120000,F,BSc,Married,29,0.0,1294.1666666666667,1452.5,False
298,210000,F,BSc,Married,36,1.0,143074.66666666666,5451.5,False
299,280000,F,MSc or PHd,Married,36,1.0,45606.666666666664,1953.0,False
300,300000,M,MSc or PHd,Single,34,0.3333333333333333,7566.666666666667,5466.5,True
301,100000,M,BSc,Single,37,1.0,77141.83333333333,2550.5,False
302,440000,F,MSc or PHd,Single,36,-1.0,0.0,27000.0,False
303,50000,F,High School Diploma,Married,40,1.0,25716.833333333332,1267.6666666666667,False
304,20000,F,MSc or PHd,Single,25,1.3333333333333333,16407.833333333332,1916.6666666666667,True
305,200000,F,MSc or PHd,Single,27,0.5,3039.3333333333335,2154.5,False
306,110000,F,BSc,Single,26,-1.0,2143.3333333333335,2020.6666666666667,False
307,500000,F,BSc,Married,36,0.0,7921.5,6175.333333333333,False
308,300000,F,BSc,Married,27,-0.16666666666666666,869.1666666666666,869.1666666666666,False
309,30000,M,High School Diploma,Married,55,3.6666666666666665,12143.833333333334,1483.3333333333333,True
310,60000,F,MSc or PHd,Single,27,0.0,10985.333333333334,7851.833333333333,False
311,400000,F,BSc,Married,38,0.3333333333333333,3525.5,3192.1666666666665,False
312,180000,F,BSc,Married,34,1.0,137944.33333333334,5333.333333333333,False
313,20000,M,MSc or PHd,Single,40,1.3333333333333333,13174.5,1766.6666666666667,False
314,200000,F,High School Diploma,Married,49,1.8333333333333333,55507.833333333336,2714.3333333333335,True
315,100000,M,MSc or PHd,Single,27,1.0,32417.166666666668,811.8333333333334,False
316,60000,M,BSc,Single,23,1.0,28588.666666666668,1335.5,True
317,110000,F,BSc,Single,36,1.0,50636.166666666664,2250.0,False
318,260000,F,High School Diploma,Married,53,0.0,337.5,414.0,False
319,50000,F,High School Diploma,Married,46,2.1666666666666665,35586.0,1228.6666666666667,False
320,180000,M,BSc,Single,29,-0.5,-2.0,0.0,False
321,110000,M,BSc,Single,29,1.8333333333333333,51891.0,1725.6666666666667,True
322,340000,F,MSc or PHd,Single,27,1.0,153856.16666666666,15024.5,False
323,50000,M,BSc,Single,24,0.8333333333333334,5275.0,1836.5,False
324,230000,F,BSc,Married,28,0.3333333333333333,9221.166666666666,1958.3333333333333,True
325,360000,F,BSc,Single,32,1.0,95901.5,9500.0,False
326,210000,M,BSc,Single,43,0.6666666666666666,26783.166666666668,8668.833333333334,False
327,220000,F,BSc,Married,41,1.5,562.5,320.8333333333333,True
328,60000,F,BSc,Married,34,2.6666666666666665,28347.0,1685.1666666666667,True
329,340000,M,BSc,Married,55,-0.6666666666666666,22927.666666666668,27397.666666666668,False
330,150000,M,MSc or PHd,Married,40,3.0,104009.16666666667,4283.333333333333,False
331,200000,F,BSc,Married,37,0.8333333333333334,7898.333333333333,8566.666666666666,True
332,130000,F,BSc,Single,40,1.3333333333333333,11085.666666666666,1200.0,True
333,60000,F,MSc or PHd,Single,28,1.5,16044.333333333334,5116.0,False
334,400000,F,BSc,Married,43,-0.16666666666666666,13331.333333333334,13331.333333333334,False
335,20000,M,MSc or PHd,Single,27,1.0,19457.833333333332,917.1666666666666,False
336,190000,F,MSc or PHd,Single,28,1.0,152145.83333333334,6139.333333333333,False
337,260000,F,MSc or PHd,Single,30,1.0,158850.0,7333.333333333333,False
338,140000,F,BSc,Single,31,-1.0,65.0,0.0,False
339,50000,F,BSc,Married,31,1.0,39013.333333333336,1767.8333333333333,True
340,120000,F,MSc or PHd,Single,34,0.16666666666666666,2831.0,3367.3333333333335,False
341,240000,F,BSc,Single,30,-1.0,61.333333333333336,359.8333333333333,False
342,50000,M,BSc,Single,36,0.8333333333333334,3141.1666666666665,565.0,False
343,200000,F,MSc or PHd,Single,29,1.0,12778.166666666666,5175.833333333333,False
344,180000,M,MSc or PHd,Married,39,0.6666666666666666,153467.0,47483.833333333336,False
345,180000,F,MSc or PHd,Single,26,1.0,122474.5,4451.666666666667,False
346,160000,F,MSc or PHd,Single,29,0.16666666666666666,1638.6666666666667,4083.3333333333335,False
347,100000,F,BSc,Single,26,0.5,3203.8333333333335,2329.0,False
348,50000,F,BSc,Single,29,1.0,45576.5,2166.6666666666665,True
349,140000,F,BSc,Single,31,1.0,139987.33333333334,5750.0,False
350,30000,F,BSc,Single,26,1.0,19648.333333333332,1010.6666666666666,True
