,Sex,Education,Marital Status,Age,Credit Limit,Payment Score,Avg Outstanding,Avg Paid,PaySep,PayAug,PayJul,PayJun,PayMay,PayApr,Outstanding/Sept05,Outstanding/Aug05,Outstanding/Jul05,Outstanding/Jun05,Outstanding/May05,Outstanding/Apr05,Paid/Sept05,Paid/Aug05,Paid/Jul05,Paid/Jun05,Paid/May05,Paid/Apr05
14,M,MSc or PHd,Single,29,50000,3.0,26279.0,1020.8333333333334,3,3,3,3,3,3,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0
15,F,BSc,Married,46,50000,0.0,9647.333333333334,166.66666666666666,1,1,1,-1,-1,-1,28718,29166,0,0,0,0,1000,0,0,0,0,0
16,M,MSc or PHd,Married,57,200000,0.5,78272.66666666667,1587.0,-1,-1,-1,0,3,3,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000
17,M,BSc,Married,56,10000,2.0,3808.6666666666665,501.6666666666667,3,3,3,1,1,1,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160
18,M,BSc,Single,29,320000,3.0,60358.666666666664,2300.0,3,3,3,3,3,3,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600
19,F,BSc,Single,22,30000,1.0,24864.333333333332,1401.8333333333333,1,1,1,1,1,1,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0
20,F,BSc,Single,44,240000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
21,M,High School Diploma,Single,30,60000,1.0,23927.666666666668,890.8333333333334,1,1,1,1,1,1,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0
22,F,MSc or PHd,Married,45,360000,0.6666666666666666,585.0,390.0,0,0,3,1,0,0,390,1170,780,390,390,390,1170,0,0,390,390,390
23,M,MSc or PHd,Married,53,200000,3.0,143694.5,5466.666666666667,3,3,3,3,3,3,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000
24,M,BSc,Married,38,20000,0.8333333333333334,15536.166666666666,947.5,1,1,1,1,1,0,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0
25,F,High School Diploma,Single,22,50000,1.0,34227.666666666664,1145.0,1,1,1,1,1,1,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904
26,M,MSc or PHd,Single,24,30000,2.0,19610.0,1052.0,0,3,1,1,4,3,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000
27,M,BSc,Single,26,80000,1.3333333333333333,16503.666666666668,1283.3333333333333,3,1,1,1,1,1,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000
28,M,High School Diploma,Single,37,50000,3.1666666666666665,48374.166666666664,1705.8333333333333,3,3,3,4,3,3,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0
29,M,MSc or PHd,Married,40,450000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
30,F,BSc,Married,35,310000,1.3333333333333333,271089.6666666667,8995.5,3,1,1,1,1,1,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987
31,M,MSc or PHd,Married,36,180000,1.0,111480.33333333333,2461.8333333333335,1,1,1,1,1,1,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000
32,M,BSc,Married,51,50000,1.0,5091.333333333333,1033.3333333333333,1,1,1,1,1,1,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134
33,F,High School Diploma,Married,51,50000,-0.3333333333333333,1155.3333333333333,1030.0,0,0,0,0,-1,-1,752,300,5880,0,0,0,300,5880,0,0,0,0
34,M,MSc or PHd,Single,47,240000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
35,F,BSc,Single,27,170000,1.0,17502.0,625.3333333333334,1,1,1,1,1,1,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0
36,M,High School Diploma,Married,45,210000,5.0,134241.83333333334,10878.0,3,4,5,5,6,7,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478
37,F,MSc or PHd,Single,24,50000,-0.5,-1928.1666666666667,0.0,2,-1,-1,-1,-1,-1,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0
38,M,High School Diploma,Married,56,130000,3.0,68429.16666666667,2416.6666666666665,2,3,3,3,3,4,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0
39,F,BSc,Married,24,60000,1.0,37073.833333333336,1806.1666666666667,1,1,1,1,1,1,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000
40,F,BSc,Married,38,100000,1.8333333333333333,15391.833333333334,933.3333333333334,2,3,1,1,3,1,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500
41,F,High School Diploma,Single,47,200000,3.0,197097.0,5997.333333333333,3,3,3,3,3,3,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,6836
42,F,MSc or PHd,Single,27,60000,1.6666666666666667,21669.666666666668,1125.3333333333333,3,1,1,1,3,1,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846
43,F,MSc or PHd,Single,24,50000,2.8333333333333335,38126.5,1355.3333333333333,2,3,3,3,3,3,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0
44,F,High School Diploma,Single,22,30000,1.8333333333333333,19642.333333333332,483.8333333333333,2,3,3,1,1,1,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,0
45,F,BSc,Married,41,210000,0.0,1609.5,1164.6666666666667,0,0,0,0,0,0,3088,1586,343,3763,877,0,1586,343,3763,877,0,419
46,F,BSc,Single,24,80000,1.0,65234.5,2306.3333333333335,1,1,1,1,1,1,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800
47,F,MSc or PHd,Married,38,210000,0.3333333333333333,397.3333333333333,1979.5,2,-1,0,1,0,0,0,0,250,123,789,1222,0,250,0,789,1222,9616
48,F,BSc,Married,36,240000,-0.5,-946.0,0.0,2,-1,-1,-1,-1,-1,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0
49,F,MSc or PHd,Married,40,360000,2.0,114260.83333333333,5350.0,3,3,3,1,1,1,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700
50,F,High School Diploma,Single,37,50000,2.0,40661.333333333336,5719.5,2,4,3,1,1,1,52626,51537,49205,30394,30249,29957,0,24,1500,1000,1201,30592
51,M,BSc,Single,23,50000,1.3333333333333333,33750.166666666664,1512.3333333333333,3,1,1,1,1,1,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,707,1004
52,M,BSc,Single,23,20000,1.8333333333333333,15776.0,2200.0,2,3,1,1,3,1,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000
53,M,BSc,Single,34,190000,2.0,138009.66666666666,5814.5,3,1,1,1,3,3,129801,131383,134379,142323,140120,150052,5000,5000,10000,0,12118,2769
54,F,High School Diploma,Married,50,240000,1.0,218871.16666666666,8499.5,1,1,1,1,1,1,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714
55,F,BSc,Other,41,140000,1.0,19309.0,2266.1666666666665,1,1,1,1,1,1,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399
56,F,BSc,Single,26,140000,1.0,105239.83333333333,4173.5,1,1,1,1,1,1,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304
57,M,MSc or PHd,Married,48,220000,1.3333333333333333,188240.0,7003.333333333333,3,1,1,1,1,1,210380,213522,201852,169115,172169,162402,10000,9020,6000,5500,6000,5500
58,F,High School Diploma,Single,49,130000,1.0,59630.166666666664,1664.3333333333333,1,1,1,1,1,1,89003,91362,72197,49654,28065,27500,4100,3095,1630,561,600,0
59,M,BSc,Single,27,50000,2.0,12286.166666666666,1105.1666666666667,4,3,3,1,1,0,13694,14880,14242,13968,14319,2614,1700,0,426,501,2614,1390
60,F,MSc or PHd,Single,58,260000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
61,F,BSc,Single,28,360000,-1.0,0.0,0.0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
62,M,MSc or PHd,Married,40,460000,0.5,4673.166666666667,4654.5,3,0,0,0,0,0,171,2715,-13,2641,-10,22535,2728,0,2654,0,22545,0
63,F,BSc,Single,25,100000,1.3333333333333333,67273.0,2201.6666666666665,3,1,1,1,1,1,70896,71678,70125,69856,69718,51365,3472,2092,2000,2127,1960,1559
64,M,MSc or PHd,Single,33,280000,0.0,-56043.166666666664,57956.5,0,0,0,0,0,0,898,898,325,898,325,-339603,898,325,898,325,0,345293
65,F,BSc,Single,22,50000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
66,M,BSc,Single,27,10000,1.3333333333333333,9474.666666666666,911.6666666666666,1,1,3,1,1,1,7015,10227,9560,9901,9963,10182,3507,0,500,370,393,700
67,M,MSc or PHd,Single,34,300000,0.3333333333333333,7566.666666666667,5466.5,2,-1,0,1,0,0,0,0,13001,12601,19595,203,0,13001,0,19595,203,0
68,F,MSc or PHd,Single,25,20000,1.3333333333333333,16407.833333333332,1916.6666666666667,1,1,3,1,1,1,11968,14564,27820,15824,15761,12510,2800,0,4000,1700,1000,2000
69,M,High School Diploma,Married,55,30000,3.6666666666666665,12143.833333333334,1483.3333333333333,3,3,3,4,4,5,9720,10613,11339,12841,13836,14514,1200,1200,2000,1500,1500,1500
70,F,High School Diploma,Married,49,200000,1.8333333333333333,55507.833333333336,2714.3333333333335,0,3,3,3,1,1,52439,51040,56205,54723,58657,59983,0,6000,0,5000,2286,3000
71,M,BSc,Single,23,60000,1.0,28588.666666666668,1335.5,1,1,1,1,1,1,49507,33282,34312,17277,17808,19346,1970,2000,618,809,2000,616
72,M,BSc,Single,29,110000,1.8333333333333333,51891.0,1725.6666666666667,2,3,3,1,1,1,58362,56598,51908,48647,47862,47969,2500,0,2000,2000,1854,2000
73,F,BSc,Married,28,230000,0.3333333333333333,9221.166666666666,1958.3333333333333,1,1,1,-1,0,0,26361,18826,1100,2100,767,6173,1710,1100,1000,767,6173,1000
74,F,BSc,Married,41,220000,1.5,562.5,320.8333333333333,0,3,3,0,3,0,650,650,325,950,475,325,325,0,950,0,325,325
75,F,BSc,Married,34,60000,2.6666666666666665,28347.0,1685.1666666666667,3,3,3,3,3,1,24898,27976,27233,30184,29566,30225,3800,0,3720,0,1300,1291
76,F,BSc,Married,37,200000,0.8333333333333334,7898.333333333333,8566.666666666666,2,0,3,0,0,0,-179,505,189,6773,23209,16893,1000,0,6900,24000,17000,2500
77,F,BSc,Single,40,130000,1.3333333333333333,11085.666666666666,1200.0,1,1,3,1,1,1,9559,12394,11883,9826,10167,12685,3000,0,500,500,2700,500
78,F,BSc,Married,31,50000,1.0,39013.333333333336,1767.8333333333333,1,1,1,1,1,1,46512,47716,49675,30929,30078,29170,1974,4406,1061,1073,1046,1047
79,F,BSc,Single,29,50000,1.0,45576.5,2166.6666666666665,1,1,1,1,1,1,47081,49316,50409,45545,39963,41145,3000,2000,2000,2000,2000,2000
80,F,BSc,Single,26,30000,1.0,19648.333333333332,1010.6666666666666,1,1,1,1,1,1,17893,19012,20123,20222,20796,19844,1411,1522,621,795,715,1000
81,M,MSc or PHd,Single,30,380000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
82,M,BSc,Married,45,180000,0.8333333333333334,29546.333333333332,1463.5,0,1,1,1,1,1,27679,28422,29650,29981,30419,31127,1481,2000,1100,1200,1500,1500
83,F,BSc,Single,23,500000,2.5,487775.5,12583.333333333334,5,4,3,1,1,1,507726,509229,499936,505507,484612,419643,10000,0,14000,16500,16000,19000
84,M,MSc or PHd,Married,40,110000,0.3333333333333333,749.6666666666666,427.3333333333333,2,-1,0,1,0,0,0,0,2066,2000,216,216,0,2066,0,216,216,66
85,F,BSc,Married,32,20000,1.8333333333333333,15555.166666666666,531.6666666666666,4,3,1,1,1,1,20631,20010,19703,11084,10918,10985,0,1168,384,390,632,616
86,M,BSc,Married,36,180000,0.3333333333333333,13923.0,0.0,3,3,-1,-1,-1,-1,83538,0,0,0,0,0,0,0,0,0,0,0
87,M,BSc,Single,31,50000,1.0,13991.833333333334,2721.1666666666665,1,1,1,1,1,1,20526,15129,15093,9577,11139,12487,2000,3000,327,3000,3000,5000
88,F,BSc,Married,37,50000,2.0,2732.8333333333335,583.3333333333334,3,3,3,1,1,1,1894,3200,3381,3559,1948,2415,1500,400,200,500,500,400
89,F,BSc,Single,28,170000,1.1666666666666667,4895.333333333333,649.8333333333334,0,1,1,3,1,1,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95
90,M,High School Diploma,Married,73,80000,1.8333333333333333,69364.0,3905.0,0,1,1,3,3,3,63144,65631,68875,70646,72870,75018,3500,4330,3500,3500,3500,5100
91,M,MSc or PHd,Married,30,260000,0.3333333333333333,431.0,21969.166666666668,0,0,0,1,1,0,1131,291,582,291,0,291,291,582,0,0,130291,651
92,F,BSc,Married,39,280000,1.0,29159.0,8114.0,2,0,1,1,1,1,-1312,35918,37297,37154,32581,33316,38621,2000,1130,922,1011,5000
93,M,MSc or PHd,Single,41,150000,0.5,1183.0,881.8333333333334,0,0,0,0,0,3,1464,2084,384,0,2344,822,2091,384,0,2344,0,472
94,F,MSc or PHd,Single,29,160000,3.0,162469.16666666666,5085.333333333333,3,3,3,3,3,3,160432,163916,159676,166893,170098,153800,7500,0,11558,5800,0,5654
95,F,MSc or PHd,Single,23,60000,2.8333333333333335,30938.166666666668,1368.1666666666667,2,3,3,3,3,3,29332,28577,30805,31601,32349,32965,0,2709,1600,1400,1300,1200
96,F,BSc,Single,27,230000,1.5,10722.0,1240.1666666666667,2,3,1,1,1,1,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641
97,F,MSc or PHd,Single,36,260000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
98,M,BSc,Married,38,200000,2.0,102325.5,3416.6666666666665,3,3,3,1,1,1,104978,105924,102663,97090,98045,105253,4500,0,3500,3500,9000,0
99,F,High School Diploma,Single,49,20000,2.3333333333333335,13173.833333333334,1687.1666666666667,3,3,3,3,1,1,9551,12081,13087,12583,15327,16414,3000,1500,0,3123,1500,1000
100,F,MSc or PHd,Single,31,170000,0.16666666666666666,232.16666666666666,232.16666666666666,0,0,0,0,1,0,199,199,199,398,199,199,199,199,398,0,199,398
101,F,MSc or PHd,Single,27,390000,1.0,295478.5,10362.0,1,1,1,1,1,1,304867,299998,300426,292869,292885,281826,13007,10612,10041,11000,10512,7000
102,F,BSc,Married,32,270000,2.8333333333333335,226636.83333333334,7000.0,2,3,3,3,3,3,234752,233036,229286,217644,223690,221413,10000,8000,0,16000,8000,0
103,F,MSc or PHd,Single,23,80000,1.0,56516.333333333336,8211.333333333334,1,1,1,1,1,1,77024,73281,57806,37642,46235,47110,3212,1600,956,40000,1800,1700
104,M,MSc or PHd,Single,44,240000,1.0,217674.16666666666,8572.666666666666,1,1,1,1,1,1,246135,231443,234557,200643,194410,198857,12026,9010,7400,8000,8000,7000
105,M,MSc or PHd,Married,51,380000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
106,M,MSc or PHd,Married,53,600000,1.6666666666666667,453090.3333333333,15166.666666666666,3,3,1,1,1,1,467150,458862,469703,447130,440982,434715,0,18000,16000,16000,21000,20000
107,M,BSc,Married,48,70000,0.8333333333333334,26097.833333333332,2467.8333333333335,1,1,1,1,1,0,50927,39883,32017,17630,9730,6400,2100,1217,500,0,6400,4590
108,M,MSc or PHd,Married,59,230000,0.8333333333333334,201767.33333333334,7137.0,0,1,1,1,1,1,208459,206331,203813,201331,198999,191671,7536,7277,7100,7120,6844,6945
109,M,MSc or PHd,Single,38,220000,1.0,198030.16666666666,7524.5,1,1,1,1,1,1,212795,211043,212759,218541,167743,165300,8909,7500,9000,6729,6000,7009
110,F,High School Diploma,Single,35,390000,1.0,310738.3333333333,11314.0,1,1,1,1,1,1,355215,363325,373181,252195,257496,263018,13802,16525,8893,9229,10000,9435
111,M,BSc,Single,26,140000,2.3333333333333335,138747.83333333334,6608.333333333333,1,1,3,3,3,3,131367,146193,140202,144035,140419,130271,17000,0,11400,550,5300,5400
112,F,BSc,Married,36,220000,0.16666666666666666,670.6666666666666,670.6666666666666,0,0,0,1,0,0,396,1648,792,396,396,396,1648,792,0,396,396,792
113,F,MSc or PHd,Married,28,80000,1.0,9829.333333333334,579.3333333333334,1,1,1,1,1,1,8574,9434,10038,10040,10400,10490,1203,1047,248,408,294,276
114,F,MSc or PHd,Married,33,130000,1.0,17836.166666666668,833.3333333333334,1,1,1,1,1,1,19161,20544,22704,22304,22304,0,2000,3000,0,0,0,0
115,F,BSc,Single,35,120000,0.0,240.0,240.0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240
116,M,BSc,Single,23,50000,3.0,31543.166666666668,1466.6666666666667,3,3,3,3,3,3,29509,30741,31438,31924,32566,33081,2000,1500,1300,1300,1200,1500
117,M,MSc or PHd,Single,28,360000,0.3333333333333333,70799.83333333333,75805.0,0,0,0,1,1,0,1210,820,64644,125984,106584,125557,390,75720,62520,17000,132200,167000
118,F,BSc,Married,42,140000,1.0,83579.66666666667,4527.833333333333,1,1,1,1,1,1,111496,112133,69529,70804,70781,66735,6022,3021,5012,5112,3000,5000
119,F,BSc,Married,45,620000,1.6666666666666667,163325.0,5116.666666666667,3,3,1,1,1,1,160837,156839,160440,163781,167159,170894,0,6200,6000,6000,6500,6000
120,M,BSc,Single,46,10000,2.0,6159.166666666667,627.6666666666666,1,1,3,3,3,1,4073,6394,6143,6908,6652,6785,2400,0,871,0,244,251
121,F,High School Diploma,Married,50,100000,2.6666666666666665,59440.833333333336,2841.6666666666665,3,1,1,4,4,3,53849,55030,61574,62470,61198,62524,2050,7500,2500,0,2500,2500
122,F,BSc,Married,36,30000,2.5,28271.666666666668,783.3333333333334,3,4,3,3,1,1,28778,28039,28286,27533,28189,28805,0,1000,0,1100,1100,1500
123,F,MSc or PHd,Married,41,220000,-0.5,-87.5,0.0,2,-1,-1,-1,-1,-1,-65,-65,-65,-65,-65,-200,0,0,0,0,0,0
124,M,High School Diploma,Married,52,100000,2.0,6284.333333333333,1250.0,1,1,3,3,3,1,4657,6068,6418,6781,6144,7638,1500,1000,1000,0,2000,2000
125,F,MSc or PHd,Single,41,190000,0.0,12018.666666666666,7309.0,0,0,0,0,0,0,28204,0,16500,0,26854,554,0,16500,0,26854,500,0
126,M,MSc or PHd,Married,56,50000,1.0,36531.833333333336,1602.8333333333333,1,1,1,1,1,1,50715,51073,28185,28842,30399,29977,2500,1500,1100,2000,1500,1017
127,F,MSc or PHd,Single,24,90000,1.0,17915.333333333332,2147.3333333333335,1,1,1,1,1,1,13141,14526,15482,18219,22737,23387,1600,1500,3000,5000,1020,764
128,F,BSc,Single,60,160000,0.0,2341.3333333333335,1738.5,-1,0,0,1,0,0,3128,5156,1089,489,3177,1009,5156,1089,0,3177,1009,0
129,M,MSc or PHd,Married,53,290000,1.3333333333333333,270493.3333333333,9852.333333333334,3,1,1,1,1,1,279610,282024,282508,284660,255892,238266,13000,10200,10265,8803,8300,8546
130,M,BSc,Single,28,30000,-0.16666666666666666,130.0,130.0,2,0,0,-1,-1,-1,0,780,0,0,0,0,780,0,0,0,0,0
131,M,MSc or PHd,Married,43,220000,-0.5,0.0,0.0,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
132,M,High School Diploma,Single,25,210000,0.5,11234.833333333334,7487.5,0,0,3,0,0,0,8817,23634,21776,9631,1561,1990,23776,0,9631,1561,1990,7967
133,F,BSc,Married,36,300000,0.6666666666666666,13294.333333333334,14820.166666666666,0,0,3,1,0,0,-475,5191,4606,2303,2768,65373,10000,0,0,2768,65373,10780
134,M,High School Diploma,Married,59,30000,0.0,545.0,480.0,0,0,0,0,0,0,390,390,390,390,390,1320,390,390,390,390,1320,0
135,F,MSc or PHd,Single,29,360000,-0.16666666666666666,988.3333333333334,441.6666666666667,1,1,-1,-1,-1,0,3280,0,0,0,0,2650,0,0,0,0,2650,0
136,M,High School Diploma,Married,31,60000,0.3333333333333333,11781.5,171.16666666666666,3,1,1,-1,-1,-1,35369,35320,0,0,0,0,1027,0,0,0,0,0
137,F,BSc,Married,44,280000,3.0,191793.0,7500.0,3,3,3,3,3,3,186149,181779,192189,195517,199250,195874,0,15000,8000,7000,0,15000
138,F,MSc or PHd,Married,42,450000,-0.16666666666666666,6933.333333333333,7033.333333333333,2,-1,-1,0,0,-1,-200,-200,0,42000,0,0,0,200,42000,0,0,0
139,M,BSc,Married,39,280000,-1.0,4009.0,4273.833333333333,-1,-1,-1,-1,-1,-1,2082,3557,5623,5400,3866,3526,3597,5672,5427,3885,3543,3519
140,F,MSc or PHd,Single,28,190000,1.0,45602.833333333336,2250.0,1,1,1,1,1,1,46923,48666,49347,50386,43883,34412,2500,2000,3000,2000,2000,2000
141,M,BSc,Married,40,90000,0.5,15004.166666666666,893.0,1,1,1,0,0,0,42856,44925,0,787,1457,0,3114,0,787,1457,0,0
142,F,MSc or PHd,Married,30,20000,2.0,7221.5,583.3333333333334,3,3,3,1,1,1,5766,7511,7678,7318,7458,7598,2000,500,0,500,500,0
143,M,BSc,Married,34,20000,1.0,15178.666666666666,1131.5,1,1,1,1,1,1,12857,14183,14890,15642,16387,17113,1541,1248,1000,1000,1000,1000
144,F,MSc or PHd,Single,28,100000,1.3333333333333333,83463.33333333333,3237.1666666666665,3,1,1,1,1,1,96193,82342,81967,82177,78840,79261,3600,3800,3000,3000,3023,3000
145,M,BSc,Single,25,30000,6.166666666666667,2300.0,0.0,3,3,8,8,8,7,2400,2400,2400,2400,2400,1800,0,0,0,0,0,0
146,M,High School Diploma,Single,42,90000,3.0,41650.333333333336,1116.6666666666667,3,3,3,3,3,3,64762,63164,32789,31641,29240,28306,0,2900,0,2500,0,1300
147,M,BSc,Single,40,190000,3.0,159881.16666666666,8100.0,3,3,3,3,3,3,145613,156765,159386,161870,165725,169928,15000,6600,6500,6500,7000,7000
148,F,High School Diploma,Married,41,20000,0.5,674.8333333333334,588.6666666666666,0,0,0,1,1,1,780,0,732,642,1252,643,0,732,300,1000,500,1000
149,F,BSc,Married,29,200000,1.3333333333333333,135810.83333333334,5032.166666666667,3,1,1,1,1,1,159398,156955,132144,119136,122211,125021,6163,4530,4500,5000,5000,5000
150,F,High School Diploma,Single,22,10000,0.3333333333333333,4357.666666666667,506.0,1,1,1,1,-1,-1,8109,9778,8259,0,0,0,2000,1036,0,0,0,0
151,F,BSc,Other,30,50000,2.0,38605.5,933.3333333333334,2,4,3,1,1,1,52515,51424,49967,20036,20076,37615,0,0,2000,1000,1000,1600
152,M,MSc or PHd,Single,26,50000,0.8333333333333334,17673.333333333332,1350.0,0,1,1,1,1,1,15448,16392,18096,18425,18619,19060,1500,2000,1500,1200,900,1000
153,F,BSc,Married,33,70000,1.0,30360.5,1180.5,1,1,1,1,1,1,69418,68943,38783,3758,1261,0,2382,2025,1000,25,0,1651
154,M,BSc,Single,22,10000,1.0,8180.166666666667,1250.0,1,1,1,1,1,1,7960,9649,8518,8628,9293,5033,2000,1000,500,1500,0,2500
155,M,BSc,Married,45,10000,1.3333333333333333,9137.333333333334,716.6666666666666,1,1,1,3,1,1,7139,8416,9815,9508,9754,10192,1400,1700,0,400,600,200
156,M,MSc or PHd,Single,29,60000,1.5,698.8333333333334,347.0,0,3,0,0,3,3,546,255,464,1173,732,1023,0,500,1000,0,582,0
157,F,BSc,Single,25,80000,1.6666666666666667,21622.166666666668,1906.5,3,1,1,3,1,1,17330,19258,23416,22768,23243,23718,3000,4790,0,816,833,2000
158,F,High School Diploma,Married,34,300000,1.0,233352.0,8062.166666666667,1,1,1,1,1,1,280823,275303,271952,193403,187562,191069,11000,12000,7200,6500,6173,5500
159,F,MSc or PHd,Single,31,150000,0.5,1996.1666666666667,1931.1666666666667,3,0,0,0,0,0,390,390,390,4825,5202,780,390,390,4825,5202,780,0
160,F,BSc,Single,25,50000,6.5,36159.166666666664,666.6666666666666,9,8,7,6,5,4,37647,37102,36238,36374,35229,34365,0,0,1000,0,0,3000
161,M,BSc,Single,26,50000,1.0,29811.166666666668,4393.166666666667,1,1,1,1,1,1,48036,46787,42011,19147,2845,20041,2100,1227,383,2000,20000,649
162,F,BSc,Married,30,230000,0.6666666666666666,6598.833333333333,4426.0,3,1,0,0,0,0,9636,10152,1817,-828,6153,12663,1222,1837,0,7863,12675,2959
163,F,BSc,Single,52,50000,1.8333333333333333,28663.166666666668,1036.6666666666667,2,3,1,1,1,3,43343,43360,23417,21969,21179,18711,1300,1400,920,1700,0,900
